#SBND antinu mode flux
#Based on G4BNB, geant4.10.4, Oct 9th 2024
#Elo: Lower bin edge in GeV
#Ehi: Upper bin edge in GeV
#flux    (nu/m^2/10^6 POT/50 MeV)
#  Elo   Ehi       numu      numub        nue       nueb
 7.20   7.25   0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00
 7.25   7.30   0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00
 7.30   7.35   0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00
 7.35   7.40   0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00
 7.40   7.45   0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00
 7.45   7.50   0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00
 7.50   7.55   0.0000e+00  0.0000e+00  2.7493e-07  0.0000e+00
 7.55   7.60   0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00
 7.60   7.65   0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00
 7.65   7.70   0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00
 7.70   7.75   0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00
 7.75   7.80   0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00
 7.80   7.85   0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00
 7.85   7.90   0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00
 7.90   7.95   0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00
 7.95   8.00   0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00
 8.00   8.05   0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00
 8.05   8.10   0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00
 8.10   8.15   0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00
 8.15   8.20   0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00
 8.20   8.25   0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00
 8.25   8.30   0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00
 8.30   8.35   0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00
 8.35   8.40   0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00
 8.40   8.45   0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00
 8.45   8.50   0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00
 8.50   8.55   0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00
 8.55   8.60   0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00
 8.60   8.65   0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00
 8.65   8.70   0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00
 8.70   8.75   0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00
 8.75   8.80   0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00
 8.80   8.85   0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00
 8.85   8.90   0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00
 8.90   8.95   0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00
 8.95   9.00   0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00
 9.00   9.05   0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00
 9.05   9.10   0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00
 9.10   9.15   0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00
 9.15   9.20   0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00
 9.20   9.25   0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00
 9.25   9.30   0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00
 9.30   9.35   0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00
 9.35   9.40   0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00
 9.40   9.45   0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00
 9.45   9.50   0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00
 9.50   9.55   0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00
 9.55   9.60   0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00
 9.60   9.65   0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00
 9.65   9.70   0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00
 9.70   9.75   0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00
 9.75   9.80   0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00
 9.80   9.85   0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00
 9.85   9.90   0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00
 9.90   9.95   0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00
 9.95   10.00   0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00
