	 0.00000000000000000, 	 0.004685755849168704752216729759, 
	 0.00010000000000000, 	 0.004586773240224542233511861866, 
	 0.00013310000000000, 	 0.004554453979903825590336285956, 
	 0.00017280000000000, 	 0.004515978728740513599426709135, 
	 0.00021970000000000, 	 0.004470927159255142467608745704, 
	 0.00027440000000000, 	 0.004418927569339527357261676599, 
	 0.00033750000000000, 	 0.004359663128100984413881846535, 
	 0.00040960000000000, 	 0.004292878944524404841165399205, 
	 0.00049130000000000, 	 0.004218388464012235751499080294, 
	 0.00058320000000000, 	 0.004136079540835330484171983301, 
	 0.00068590000000000, 	 0.004045920184498457035371377088, 
	 0.00080000000000000, 	 0.003947963209174904473941492000, 
	 0.00092610000000000, 	 0.003842349475399652481560908157, 
	 0.00106480000000000, 	 0.003729312166605236369271159091, 
	 0.00121670000000000, 	 0.003609175438503822719304992006, 
	 0.00138240000000000, 	 0.003482356225768750302568266264, 
	 0.00156250000000000, 	 0.003349362079676037728254156534, 
	 0.00175760000000000, 	 0.003210786185317142035766657671, 
	 0.00196830000000000, 	 0.003067303457272542270561910271, 
	 0.00219520000000000, 	 0.002919662580498180726173984567, 
	 0.00243890000000000, 	 0.002768677895932127736022820841, 
	 0.00270000000000000, 	 0.002615217245328017425104460969, 
	 0.00297910000000000, 	 0.002460191634699770198840829138, 
	 0.00327680000000000, 	 0.002304541066030174611967140663, 
	 0.00359370000000000, 	 0.002149220353958446183550989872, 
	 0.00393040000000000, 	 0.001995184141843932106030745643, 
	 0.00428750000000000, 	 0.001843371291872647910886628964, 
	 0.00466560000000000, 	 0.001694689802042381168364904021, 
	 0.00506530000000000, 	 0.001550001653091347131319110986, 
	 0.00548720000000000, 	 0.001410108873492228178866958466, 
	 0.00593190000000000, 	 0.001275740130324687924071036527, 
	 0.00640000000000000, 	 0.001147539930205615597152979390, 
	 0.00689210000000000, 	 0.001026058774790345427818660795, 
	 0.00740880000000000, 	 0.000911745660157602458295578174, 
	 0.00795070000000000, 	 0.000804943685270879233893681626, 
	 0.00851840000000000, 	 0.000705887058744174874895527250, 
	 0.00911250000000000, 	 0.000614701523745223021855110801, 
	 0.00973360000000000, 	 0.000531406940689950414886955077, 
	 0.01038230000000000, 	 0.000455922032102474368477768030, 
	 0.01105920000000000, 	 0.000388072028065199572163107566, 
	 0.01176490000000000, 	 0.000327597503425958364899062136, 
	 0.01250000000000000, 	 0.000274165049569009421255583181, 
	 0.01326510000000000, 	 0.000227379418843835936049971314, 
	 0.01406080000000000, 	 0.000186795924855929595768955220, 
	 0.01488770000000000, 	 0.000151933681460699729131799685, 
	 0.01574640000000000, 	 0.000122288312591269023466705734, 
	 0.01663750000000000, 	 0.000097344594376561175037843032, 
	 0.01756160000000000, 	 0.000076587936116441108504691859, 
	 0.01851930000000000, 	 0.000059514832448934308444226521, 
